Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
"Penjajahan di tanah Indonesia harus dihapuskan ya? Kita harus memberantas kolonialisme ekonomi, budaya, dan pertanian yang dilakukan Tiongkok. Demi Negara Kesatuan Republik Indonesia. Menyingkirkan...",1,0,0,1,0,1,0,0,0,0,0,1,jajah tanah indonesia hapus ya berantas kolonialisme ekonomi budaya pe ani laku tiongkok negara republik indonesia singkir,"['jajah', 'tanah', 'indonesia', 'hapus', 'ya', 'berantas', 'kolonialisme', 'ekonomi', 'budaya', 'pe', 'ani', 'laku', 'tiongkok', 'negara', 'republik', 'indonesia', 'singkir']"
Menempati Istana Negara!! Sekaligus melengserkan Jokowi Salam 2 Tahun USER,1,0,1,0,0,0,0,0,1,0,0,1,istana negara lengser jokowi salam 2,"['istana', 'negara', 'lengser', 'jokowi', 'salam', '2']"
PENGGUNA Singkirkan negara-negara dengan harga tetap,1,0,0,1,0,0,0,0,1,0,0,1,singkir negara negara harga,"['singkir', 'negara', 'negara', 'harga']"
Adzan di TV yang menyebut Allah SWT bodoh & biadab harus dihentikan dan tayangan yang mencemarkan nama Tuhan tidak boleh dilanjutkan.,1,1,0,1,1,0,0,0,0,0,0,1,azan televisi allah subhanahu wa taala bodoh biadab henti tayang cemar nama tuhan,"['azan', 'televisi', 'allah', 'subhanahu', 'wa', 'taala', 'bodoh', 'biadab', 'henti', 'tayang', 'cemar', 'nama', 'tuhan']"
"Berhasil Penjarakan Ahok, Alumni 212 Pendukung Rizieq Bakal Tumbangkan Jokowi Usai Idul Fitri",1,0,1,0,0,0,0,0,1,0,0,1,hasil penjara ahok alumni 212 dukung rizieq tumbang jokowi idul fitri,"['hasil', 'penjara', 'ahok', 'alumni', '212', 'dukung', 'rizieq', 'tumbang', 'jokowi', 'idul', 'fitri']"
Fahri Hamzah: Andai Saya Ketua KPK Saya Akan Bubarkan URL-nya,1,0,0,1,0,0,0,0,1,0,0,1,fahri hamzah andai ketua komisi berantas korupsi bubar uniform resource locator nya,"['fahri', 'hamzah', 'andai', 'ketua', 'komisi', 'berantas', 'korupsi', 'bubar', 'uniform', 'resource', 'locator', 'nya']"
RT USER Bubarkan DPR.. SAVEKPK,1,0,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat save komisi berantas korupsi,"['bubar', 'dewan', 'wakil', 'rakyat', 'save', 'komisi', 'berantas', 'korupsi']"
Setuju Ahokers akan menggulingkan Prabon Jokowi daripada menghancurkan penjara tanpa alasan.. URL,1,0,1,0,0,0,0,0,1,0,0,1,tuju ahoker guling prabowo jokowi hancur penjara alas uniform resource locator,"['tuju', 'ahoker', 'guling', 'prabowo', 'jokowi', 'hancur', 'penjara', 'alas', 'uniform', 'resource', 'locator']"
"Kami balas di sini, bagaimana kami bisa mengusir Buddha"" USER: Kurang ajar, Etnis Muslim Rohingya Dikecualikan dari Data Sensus Penduduk Myanmar",1,0,0,1,1,0,0,0,0,0,0,1,balas usir buddha ajar etnis muslim rohingya kecuali data sensus duduk myanmar,"['balas', 'usir', 'buddha', 'ajar', 'etnis', 'muslim', 'rohingya', 'kecuali', 'data', 'sensus', 'duduk', 'myanmar']"
"Yang kita pertahankan adalah Pancasila dan Kedaulatan Negara. Jika USER tidak mendukung, maka HAPUS saja!!... Sekarang ancamannya nyata!!.",1,0,1,0,0,0,0,0,1,0,0,1,pe ahankan pancasila daulat negara dukung hapus ancam nyata,"['pe', 'ahankan', 'pancasila', 'daulat', 'negara', 'dukung', 'hapus', 'ancam', 'nyata']"
"Kalau tak mau mendengarkan ulama dan tetap ngotot mengkriminalisasi ulama, copot saja Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,dengar ulama otot kriminalisasi ulama copot jokowi,"['dengar', 'ulama', 'otot', 'kriminalisasi', 'ulama', 'copot', 'jokowi']"
Orang Tionghoa lagi... Orang Tionghoa lagi... Lebih baik dibuang saja ya? Itu merusak pekerjaannya.,1,0,0,1,0,1,0,0,0,0,0,1,orang tionghoa orang tionghoa buang ya rusak kerja,"['orang', 'tionghoa', 'orang', 'tionghoa', 'buang', 'ya', 'rusak', 'kerja']"
USER Ayo Bangsa Indonesia Bersihkan Etnis Tionghoa Ahok,1,0,0,1,0,1,0,0,0,0,0,1,ayo bangsa indonesia sih etnis tionghoa ahok,"['ayo', 'bangsa', 'indonesia', 'sih', 'etnis', 'tionghoa', 'ahok']"
"Jokowi Sudah Menyerah, Saatnya Gantikan Jokowi, Tumbangkan URL Qishosjokowi Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,jokowi serah ganti jokowi tumbang uniform resource locator kisas jokowi jokowi,"['jokowi', 'serah', 'ganti', 'jokowi', 'tumbang', 'uniform', 'resource', 'locator', 'kisas', 'jokowi', 'jokowi']"
USER Bubarkan saja Komisi Pemberantasan Korupsi agar para koruptor leluasa memperkaya diri di negeri ini,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi koruptor leluasa kaya negeri,"['bubar', 'komisi', 'berantas', 'korupsi', 'koruptor', 'leluasa', 'kaya', 'negeri']"
"PENGGUNA Hanya rezim ini, orang seperti dia berani tampil di layar. Harap segera mengambil tindakan USER USER",1,0,1,0,0,0,0,0,1,0,0,1,rezim orang sepe i berani tampil layar harap ambil tindak,"['rezim', 'orang', 'sepe', 'i', 'berani', 'tampil', 'layar', 'harap', 'ambil', 'tindak']"
"Mengapa hanya warga Tiongkok non-Muslim yang dibantai? USERnya orang China juga, usir dia juga.",1,0,0,1,1,1,0,0,0,0,0,1,warga tiongkok non muslim bantai nya orang cina usir,"['warga', 'tiongkok', 'non', 'muslim', 'bantai', 'nya', 'orang', 'cina', 'usir']"
Bubarkan saja DPR dan KPK... sama bodohnya,1,1,0,1,0,0,0,0,1,0,0,1,bubar dewan wakil rakyat komisi berantas korupsi bodoh,"['bubar', 'dewan', 'wakil', 'rakyat', 'komisi', 'berantas', 'korupsi', 'bodoh']"
RT USER DPR tidak perlu dibubarkan,1,0,0,1,0,0,0,0,1,0,0,1,dewan wakil rakyat bubar,"['dewan', 'wakil', 'rakyat', 'bubar']"
PENGGUNA USER hancurkan pki. Mari kita dukung Prabowo untuk tahun 2019,1,0,0,1,0,1,0,0,0,0,0,1,hancur partai komunis indonesia mari dukung prabowo 2019,"['hancur', 'partai', 'komunis', 'indonesia', 'mari', 'dukung', 'prabowo', '2019']"
"USER Pak USER Membuang Islam memang menyakitkan, tapi harus dilakukan demi kebaikan seluruh umat manusia",1,0,0,1,1,0,0,0,0,0,0,1,buang islam sakit laku umat manusia,"['buang', 'islam', 'sakit', 'laku', 'umat', 'manusia']"
RT USER USER Jadi dukung mereka yang korup! Bubarkan Komisi Pemberantasan Korupsi. Pantas saja... dari situlah isu PKI keluar. Sungguh orang yang korup,1,0,0,1,0,0,0,0,1,0,0,1,dukung korup bubar komisi berantas korupsi situ isu partai komunis indonesia sungguh orang korup,"['dukung', 'korup', 'bubar', 'komisi', 'berantas', 'korupsi', 'situ', 'isu', 'partai', 'komunis', 'indonesia', 'sungguh', 'orang', 'korup']"
RT USER Tidak masalah...semuanya baik-baik saja,1,0,0,1,0,0,0,0,1,0,0,1,,[]
LARUTKAN ILLUNI UI,1,0,0,1,0,0,0,0,1,0,0,1,larut illuni oi,"['larut', 'illuni', 'oi']"
Ahok harus mengakhiri hukuman penjara Ahok. penahanan Ahok,1,0,1,0,0,0,0,0,1,0,0,1,ahok hukum penjara ahok tahan ahok,"['ahok', 'hukum', 'penjara', 'ahok', 'tahan', 'ahok']"
"Apapun masalahnya, hasilnya tanggung jawab Presiden.. solusi dari solusi terbaik.. Singkirkan Jokowi...!!",1,0,1,0,0,0,0,0,1,0,0,1,hasil tanggung presiden solusi solusi singkir jokowi,"['hasil', 'tanggung', 'presiden', 'solusi', 'solusi', 'singkir', 'jokowi']"
Kapan Kita Mulai Singkirkan Jokowi? Ini sudah lebih buruk bagi PENGGUNA,1,0,1,0,0,0,0,0,1,0,0,1,singkir jokowi buruk,"['singkir', 'jokowi', 'buruk']"
Mari bersiap membubarkan URL PENGGUNA DPR,1,0,0,1,0,0,0,0,1,0,0,1,mari bubar uniform resource locator dewan wakil rakyat,"['mari', 'bubar', 'uniform', 'resource', 'locator', 'dewan', 'wakil', 'rakyat']"
"Blokir Jokowi Hebat, ternyata dunia maya sudah menggambarkannya, tinggal mewujudkannya di dunia nyata. HAPUS JOKOWI",1,0,1,0,0,0,0,0,1,0,0,1,blokir jokowi hebat nyata dunia maya gambar tinggal wujud dunia nyata hapus jokowi,"['blokir', 'jokowi', 'hebat', 'nyata', 'dunia', 'maya', 'gambar', 'tinggal', 'wujud', 'dunia', 'nyata', 'hapus', 'jokowi']"
"Sumbu Pendek: Koalisi Jokowi dengan Negara PKI, PKI Jokowi, Tumbangkan Jokowi....Mendorong Saya",1,0,1,0,0,1,0,0,0,0,0,1,sumbu pendek koalisi jokowi negara partai komunis indonesia partai komunis indonesia jokowi tumbang jokowi dorong,"['sumbu', 'pendek', 'koalisi', 'jokowi', 'negara', 'partai', 'komunis', 'indonesia', 'partai', 'komunis', 'indonesia', 'jokowi', 'tumbang', 'jokowi', 'dorong']"
TURUNKAN PKI DAN MENTERINYA!,1,0,0,1,0,1,0,0,0,0,0,1,turun partai komunis indonesia menteri,"['turun', 'partai', 'komunis', 'indonesia', 'menteri']"
USER baru saja membubarkan Komisi Pemberantasan Korupsi Fud.. Jadikan orang itu tersangka sembarangan.. Anda kalah sekarang,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi fud orang sangka sembarang kalah,"['bubar', 'komisi', 'berantas', 'korupsi', 'fud', 'orang', 'sangka', 'sembarang', 'kalah']"
Saatnya usir penjajah Tiongkok dari Indonesia!! PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA,1,0,0,1,0,1,0,0,0,0,0,1,usir jajah tiongkok indonesia,"['usir', 'jajah', 'tiongkok', 'indonesia']"
kita hanya butuh presiden baru yang tegas menumpas PKI dan anti PKI!,1,0,0,1,0,1,0,0,0,0,0,1,butuh presiden tumpas partai komunis indonesia anti partai komunis indonesia,"['butuh', 'presiden', 'tumpas', 'partai', 'komunis', 'indonesia', 'anti', 'partai', 'komunis', 'indonesia']"
Banyak cara yang digunakan sindikat China untuk menipu uang rakyat Indonesia...untuk mengusir orang China keluar dari Indonesia,1,0,0,1,0,1,0,0,0,0,0,1,sindikat cina tipu uang rakyat indonesia usir orang cina indonesia,"['sindikat', 'cina', 'tipu', 'uang', 'rakyat', 'indonesia', 'usir', 'orang', 'cina', 'indonesia']"
USER Mengusir Tiongkok keluar dari negara USER USER USER USER USER,1,0,0,1,0,1,0,0,0,0,0,1,usir tiongkok negara,"['usir', 'tiongkok', 'negara']"
"Hukum Indonesia! Sementara itu, Jokowi mengubah Indonesia menjadi negara kekuatan yang ingin dilawan oleh Jokowi! menggulingkan Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,hukum indonesia jokowi ubah indonesia negara kuat lawan jokowi guling jokowi,"['hukum', 'indonesia', 'jokowi', 'ubah', 'indonesia', 'negara', 'kuat', 'lawan', 'jokowi', 'guling', 'jokowi']"
"Coba Pak Prabowo, sampai level OB perannya akan dipanggil, Jokowi cuma klaim, cabut!!! URL",1,0,1,0,0,0,0,0,1,0,0,1,coba prabowo level office boy peran panggil jokowi klaim pergi uniform resource locator,"['coba', 'prabowo', 'level', 'office', 'boy', 'peran', 'panggil', 'jokowi', 'klaim', 'pergi', 'uniform', 'resource', 'locator']"
ANJING TERBANG MELAWAN KOTOR; BURUNG NARIO MEMILIKI SAYAP BIRU; SATUKAN SUARA ANDA SAAT PEMILU; KAMI MEMILIH PRESIDEN BARU; ; MEMANCING MALAM; IKAN YANG DIMAKAN CAMPUR DENGAN Ketan; MARI KITA MENANGKAN PARTAI ISLAM; KAMI MENGHANCURKAN PARTAI SETAN! ; ; TUHAN YANG TERBESAR..,1,1,0,1,1,0,0,0,0,0,0,1,anjing terbang lawan kotor burung nario milik sayap biru suara pilih pilih presiden pancing malam ikan makan campur ketan mari menang ai islam hancur ai setan tuhan,"['anjing', 'terbang', 'lawan', 'kotor', 'burung', 'nario', 'milik', 'sayap', 'biru', 'suara', 'pilih', 'pilih', 'presiden', 'pancing', 'malam', 'ikan', 'makan', 'campur', 'ketan', 'mari', 'menang', 'ai', 'islam', 'hancur', 'ai', 'setan', 'tuhan']"
USER Makanya Golkar Tuntut Setya Novanto Dipecat dari DPR dan Pembelanya USER USER Mundur Jadi Pemimpin Kalau Malu,1,0,0,1,0,0,0,0,1,0,0,1,golkar tuntut setya novanto pecat dewan wakil rakyat bela mundur pimpin malu,"['golkar', 'tuntut', 'setya', 'novanto', 'pecat', 'dewan', 'wakil', 'rakyat', 'bela', 'mundur', 'pimpin', 'malu']"
"Mari kita buang Alquran, kitab PENGGUNA SAMPAH USER USER USER",1,1,0,1,1,0,0,0,0,0,0,1,mari buang alquran kitab sampah,"['mari', 'buang', 'alquran', 'kitab', 'sampah']"
PENGGUNA Barokalloh Pak.; Saya mendukungnya dengan; #2019GantiPresiden; #2019Perubahan Rezim; #HANCURKAN PARTAISETAN,1,0,0,1,0,0,0,0,1,0,0,1,barakallah dukung 2019 ganti presiden 2019perubahan rezim hancur aisetan,"['barakallah', 'dukung', '2019', 'ganti', 'presiden', '2019perubahan', 'rezim', 'hancur', 'aisetan']"
Ahok telah menjadi korban rezim ini. Jatuhkan Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,ahok korban rezim jatuh jokowi,"['ahok', 'korban', 'rezim', 'jatuh', 'jokowi']"
"PENGGUNA Pengkhianat NKRI adalah kelompok yang mengambil keputusan yang merugikan negara!! Tenggelamkan komplotan moncong babi, antek-antek PKI",1,1,0,1,0,1,0,0,0,0,0,1,penghianat negara republik indonesia kelompok ambil putus rugi negara tenggelam komplot moncong babi antek antek partai komunis indonesia,"['penghianat', 'negara', 'republik', 'indonesia', 'kelompok', 'ambil', 'putus', 'rugi', 'negara', 'tenggelam', 'komplot', 'moncong', 'babi', 'antek', 'antek', 'partai', 'komunis', 'indonesia']"
Hancurkan PKI sekuat tenaga,1,0,0,1,0,1,0,0,0,0,0,1,hancur partai komunis indonesia kuat tenaga,"['hancur', 'partai', 'komunis', 'indonesia', 'kuat', 'tenaga']"
Bubarkan Komisi Pemberantasan Korupsi...kalau tidak buat juga SOP TAPING sesuai putusan MK...,1,0,0,1,0,0,0,0,1,0,0,1,bubar komisi berantas korupsi sop taping sesuai putus mk,"['bubar', 'komisi', 'berantas', 'korupsi', 'sop', 'taping', 'sesuai', 'putus', 'mk']"
Partai politik selalu mencari pembenaran; Mari kita tenggelamkan PDIP di semua tingkatan kepala pemerintahan; Kerugian negara adalah kerugian bangsa!; ; #2019GantiPresiden ; #2019Presiden Baru,1,0,0,1,0,0,0,0,1,0,0,1,ai politik cari mari tenggelam partai demokrasi indonesia juang tingkat kepala perintah rugi negara rugi bangsa 2019 ganti presiden 2019presiden,"['ai', 'politik', 'cari', 'mari', 'tenggelam', 'partai', 'demokrasi', 'indonesia', 'juang', 'tingkat', 'kepala', 'perintah', 'rugi', 'negara', 'rugi', 'bangsa', '2019', 'ganti', 'presiden', '2019presiden']"
Kelompok USER anggota DPR dibubarkan. URL,1,0,0,1,0,0,0,0,1,0,0,1,kelompok anggota dewan wakil rakyat bubar uniform resource locator,"['kelompok', 'anggota', 'dewan', 'wakil', 'rakyat', 'bubar', 'uniform', 'resource', 'locator']"
Indonesia terasa seperti Beijing. mengusir orang Cina,1,0,0,1,0,1,0,0,0,0,0,1,indonesia asa sepe i beijing usir orang cina,"['indonesia', 'asa', 'sepe', 'i', 'beijing', 'usir', 'orang', 'cina']"
Bagaimana jika tagar tersebut diganti dengan lengsernya Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,tagar ganti lengser jokowi,"['tagar', 'ganti', 'lengser', 'jokowi']"
USER USER USER USER USER USER USER USER #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #Hancurkan,1,0,0,1,0,0,0,0,1,0,0,1,hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur,"['hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur']"
"Apakah ini beradab? Kalau setuju tidak beradab, buang Islam karena hanya dengan membuang Islam barbarisme bisa dikurangi.",1,1,0,1,1,0,0,0,0,0,0,1,adab tuju adab buang islam buang islam barbarisme rang,"['adab', 'tuju', 'adab', 'buang', 'islam', 'buang', 'islam', 'barbarisme', 'rang']"
RT PENGGUNA PENGGUNA PENGGUNA Tangkap Setnov yang tidak mampu bubarkan KPK!!,1,0,0,1,0,0,0,0,1,0,0,1,tangkap setya novanto bubar komisi berantas korupsi,"['tangkap', 'setya', 'novanto', 'bubar', 'komisi', 'berantas', 'korupsi']"
USER USER USER USER Sangat Setuju! Bangsa Indonesia membutuhkan USER sebagai pahlawan nasionalis yang mengajarkan kita untuk mencintai NKRI. Kaum radikal yang biadab dan menjengkelkan ini harus dilenyapkan! Pekerjaan keren,1,1,0,1,0,0,0,0,1,0,0,1,tuju bangsa indonesia butuh pahlawan nasionalis ajar cinta negara republik indonesia kaum radikal biadab jengkel lenyap kerja keren,"['tuju', 'bangsa', 'indonesia', 'butuh', 'pahlawan', 'nasionalis', 'ajar', 'cinta', 'negara', 'republik', 'indonesia', 'kaum', 'radikal', 'biadab', 'jengkel', 'lenyap', 'kerja', 'keren']"
"RT PENGGUNA PKI telah bergabung dengan PDI P, bubarkan PDI P!!",1,0,0,1,0,1,0,0,0,0,0,1,partai komunis indonesia gabung partai demokrasi indonesia p bubar partai demokrasi indonesia p,"['partai', 'komunis', 'indonesia', 'gabung', 'partai', 'demokrasi', 'indonesia', 'p', 'bubar', 'partai', 'demokrasi', 'indonesia', 'p']"
Restart Reformasi 98 jilid 2 PENGGUNA Hapus Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,resta reformasi 98 jilid 2 hapus jokowi,"['resta', 'reformasi', '98', 'jilid', '2', 'hapus', 'jokowi']"
"Khas Bani 212 Bin Onta Kampret : cepat memuji orang yang dihormati, cepat menghina balik... Salam TGB... ngoahaha #DisbandPKS'",1,1,0,1,1,0,0,0,0,0,0,1,khas bani 212 bin onta kampret cepat puji orang hormat cepat hina salam tuan guru bajang haha disbandpks,"['khas', 'bani', '212', 'bin', 'onta', 'kampret', 'cepat', 'puji', 'orang', 'hormat', 'cepat', 'hina', 'salam', 'tuan', 'guru', 'bajang', 'haha', 'disbandpks']"
Mengapa menyerang pemerintahan Jokowi yang sebentar lagi akan berhenti berkuasa? Gulingkan dia pada pemilihan presiden berikutnya.,1,0,1,0,0,0,0,0,1,0,0,1,serang perintah jokowi sebentar henti kuasa guling pilih presiden,"['serang', 'perintah', 'jokowi', 'sebentar', 'henti', 'kuasa', 'guling', 'pilih', 'presiden']"
"PT20 Langgar Konstitusi Rezim Otoriter Ini Tak Henti-hentinya Langgar Hukum, Kali Ini Konstitusi Juga Akan Dilanggar... Saatnya Jatuhkan Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,pt20 langgar konstitusi rezim otoriter henti henti langgar hukum kali konstitusi langgar jatuh jokowi,"['pt20', 'langgar', 'konstitusi', 'rezim', 'otoriter', 'henti', 'henti', 'langgar', 'hukum', 'kali', 'konstitusi', 'langgar', 'jatuh', 'jokowi']"
"gulingkan jokowi! ""USER: Rezim anti-subsidi adalah rezim anti-populer. USER USER""",1,0,1,0,0,0,0,0,1,0,0,1,guling jokowi rezim anti subsidi rezim anti populer,"['guling', 'jokowi', 'rezim', 'anti', 'subsidi', 'rezim', 'anti', 'populer']"
Ahok mencari peluang untuk menyerang saksi Drama Kriminalisasi Ahok yang memenjarakan Ahok,1,0,1,0,0,0,0,0,1,0,0,1,ahok cari peluang serang saksi drama kriminalisasi ahok penjara ahok,"['ahok', 'cari', 'peluang', 'serang', 'saksi', 'drama', 'kriminalisasi', 'ahok', 'penjara', 'ahok']"
"Jokowi harus segera dicopot dan digantikan oleh Ahmad Heryawan. Jangan keras kepala, saya hanya memberi contoh saja.",1,1,1,0,0,0,0,0,1,0,0,1,jokowi copot ganti ahmad heryawan keras kepala contoh,"['jokowi', 'copot', 'ganti', 'ahmad', 'heryawan', 'keras', 'kepala', 'contoh']"
Gambarnya adalah posisi Papa yang meminta agar URL KPK dibagikan dan dibubarkan,1,0,0,1,0,0,0,0,1,0,0,1,gambar posisi papa uniform resource locator komisi berantas korupsi bubar,"['gambar', 'posisi', 'papa', 'uniform', 'resource', 'locator', 'komisi', 'berantas', 'korupsi', 'bubar']"
"Kami tidak takut, kami hanya ingin memusnahkan pki yang berbahaya jika embrio setan berkembang biak",1,0,0,1,0,1,0,0,0,0,0,1,takut musnah partai komunis indonesia bahaya embrio setan kembang biak,"['takut', 'musnah', 'partai', 'komunis', 'indonesia', 'bahaya', 'embrio', 'setan', 'kembang', 'biak']"
Saatnya untuk mundur. menggulingkan Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,mundur guling jokowi,"['mundur', 'guling', 'jokowi']"
"Singkirkan saja yang Cina ini. Ki paling gila dipenjara karena anti-Tionghoa. Nah, China sudah mendarat di negara ini, sebagai gantinya... URL",1,0,1,0,0,1,0,0,0,0,0,1,singkir cina ki gila penjara anti tionghoa cina darat negara ganti uniform resource locator,"['singkir', 'cina', 'ki', 'gila', 'penjara', 'anti', 'tionghoa', 'cina', 'darat', 'negara', 'ganti', 'uniform', 'resource', 'locator']"
Gak usah.. Biarin aja Jokowi lindungi Ahok.. Tahun 2019 kita gulingkan Jokowi.. Itu baru solid..,1,0,1,0,0,0,0,0,1,0,0,1,biar jokowi lindung ahok 2019 guling jokowi solid,"['biar', 'jokowi', 'lindung', 'ahok', '2019', 'guling', 'jokowi', 'solid']"
Usir agama Budha dari Jawa!!!!,1,0,0,1,1,0,0,0,0,0,0,1,usir agama buddha jawa,"['usir', 'agama', 'buddha', 'jawa']"
RT USER Mari kita jaga keutuhan NKRI!!! Tangkap Penghujat!!! Hentikan Kriminalisasi Ulama URL,1,0,1,0,1,0,0,0,0,0,0,1,mari jaga utuh negara republik indonesia tangkap hujat henti kriminalisasi ulama uniform resource locator,"['mari', 'jaga', 'utuh', 'negara', 'republik', 'indonesia', 'tangkap', 'hujat', 'henti', 'kriminalisasi', 'ulama', 'uniform', 'resource', 'locator']"
TURUNKAN PKI! Asosiasi Keripik Indo... URL,1,0,0,1,0,1,0,0,0,0,0,1,turun partai komunis indonesia asosiasi keripik indonesia uniform resource locator,"['turun', 'partai', 'komunis', 'indonesia', 'asosiasi', 'keripik', 'indonesia', 'uniform', 'resource', 'locator']"
RT USER Usir saja duta besar negara Kristen dan hubungan diplomatik terputus.,1,0,1,0,1,0,0,0,0,0,0,1,usir duta negara kristen hubung diplomatik putus,"['usir', 'duta', 'negara', 'kristen', 'hubung', 'diplomatik', 'putus']"
"Ayo Umat Islam Terus Pukuli Kelompok LGBT, Masyarakat Pahami Apa yang Perlu Diusir dari Islam USER Parmusi Dorong RUU Agama Anti-LGBT",1,0,0,1,1,0,0,1,0,0,0,1,ayo umat islam kelompok lgbt masyarakat paham usir islam parmusi dorong rancang undang undang agama anti lgbt,"['ayo', 'umat', 'islam', 'kelompok', 'lgbt', 'masyarakat', 'paham', 'usir', 'islam', 'parmusi', 'dorong', 'rancang', 'undang', 'undang', 'agama', 'anti', 'lgbt']"
PENGGUNA RT DIPENJARA KARENA ADMINISTRASI AGAMA!!! ATAU PENGGUNA TURUN!!! URL,1,0,1,0,1,0,0,0,0,0,0,1,penjara administrasi agama turun uniform resource locator,"['penjara', 'administrasi', 'agama', 'turun', 'uniform', 'resource', 'locator']"
